Review ID,Run,Source,Topic,Sentiment,Head,Selected Content,Literal,Literal Type,Valid,Errors
1,,gt,Facility,Positive,good_facility,"New, comfortable apartments",new_hotel,body,True,
1,,gt,Facility,Positive,good_facility,"New, comfortable apartments",comfortable_hotel,body,True,
1,,gt,Facility,Positive,good_facility,"New, comfortable apartments",no_evident_not_new_hotel,cont,True,
1,,gt,Facility,Positive,good_facility,"New, comfortable apartments",no_evident_not_comfortable_hotel,cont,True,
1,,gt,Location,Positive,good_location,"close to the airport, to very clean beach.",clean_beach,body,True,
1,,gt,Location,Positive,good_location,"close to the airport, to very clean beach.",close_to_airport,body,True,
1,,gt,Location,Positive,good_location,"close to the airport, to very clean beach.",no_evident_not_clean_beach,cont,True,
1,,gt,Location,Positive,good_location,"close to the airport, to very clean beach.",no_evident_not_close_to_airport,cont,True,
1,,gt,Staff,Positive,good_staff,Staff is extremely helpful and easy to communicate with,helpful_staff,body,True,
1,,gt,Staff,Positive,good_staff,Staff is extremely helpful and easy to communicate with,easy_to_communicate_with,body,True,
1,,gt,Staff,Positive,good_staff,Staff is extremely helpful and easy to communicate with,no_evident_not_helpful_staff,cont,True,
1,,gt,Staff,Positive,good_staff,Staff is extremely helpful and easy to communicate with,no_evident_not_easy_to_communicate_with,cont,True,
1,,gt,Food,Positive,good_food,"Tasty food on the first floor, comfortable restaurant for both cozy evenings and calm work to escape the heat in the midday",tasty_food,body,True,
1,,gt,Food,Positive,good_food,"Tasty food on the first floor, comfortable restaurant for both cozy evenings and calm work to escape the heat in the midday",comfortable_restaurant,body,True,
1,,gt,Food,Positive,good_food,"Tasty food on the first floor, comfortable restaurant for both cozy evenings and calm work to escape the heat in the midday",no_evident_not_tasty_food,cont,True,
1,,gt,Food,Positive,good_food,"Tasty food on the first floor, comfortable restaurant for both cozy evenings and calm work to escape the heat in the midday",no_evident_not_comfortable_restaurant,cont,True,
2,,gt,Staff,Positive,good_staff,The staff was very nice and helpful!,nice_staff,body,True,
2,,gt,Staff,Positive,good_staff,The staff was very nice and helpful!,helpful_staff,body,True,
2,,gt,Staff,Positive,good_staff,The staff was very nice and helpful!,no_evident_not_nice_staff,cont,True,
2,,gt,Staff,Positive,good_staff,The staff was very nice and helpful!,no_evident_not_helpful_staff,cont,True,
2,,gt,Room,Positive,good_room,"The room was very clean, well decorated and modern, although not big.",clean_room,body,True,
2,,gt,Room,Positive,good_room,"The room was very clean, well decorated and modern, although not big.",well_decorated_room,body,True,
2,,gt,Room,Positive,good_room,"The room was very clean, well decorated and modern, although not big.",modern_room,body,True,
2,,gt,Room,Positive,good_room,"The room was very clean, well decorated and modern, although not big.",no_evident_not_clean_room,cont,True,
2,,gt,Room,Positive,good_room,"The room was very clean, well decorated and modern, although not big.",no_evident_not_well_decorated_room,cont,True,
2,,gt,Room,Positive,good_room,"The room was very clean, well decorated and modern, although not big.",no_evident_not_modern_room,cont,True,
2,,gt,Room,Negative,bad_room,"The room was very clean, well decorated and modern, although not big.",not_big_room,body,True,
2,,gt,Room,Negative,bad_room,"The room was very clean, well decorated and modern, although not big.",have_evident_not_big_room,cont,True,
2,,gt,Food,Positive,good_food,"Also, the breakfast was amazing, fresh and handmade! Especially vegetarian version with humus. The cook is great, and all staff was very kind and helpful.",amazing_breakfast,body,True,
2,,gt,Food,Positive,good_food,"Also, the breakfast was amazing, fresh and handmade! Especially vegetarian version with humus. The cook is great, and all staff was very kind and helpful.",fresh_breakfast,body,True,
