Review ID,Valid,Topic,Selected Content,Sentiment,Errors
1,True,Staff,Staff is extremely helpful and easy to communicate with ,Positive,
1,True,Food,"Tasty food on the first floor, comfortable restaurant for both cozy evenings and calm work to escape the heat in the midday",Positive,
2,False,Room,"The room was very clean, well decorated and modern, although not big.",Positive,
2,False,Staff,the staff was very nice and helpful,Positive,
2,False,Staff,all staff was very kind and helpful,Positive,
2,False,Food,"breakfast was amazing, fresh and handmade!",Positive,
3,True,Location,the location is great and near the airport.,Positive,
3,True,Location,bus stop is very close.,Positive,
4,False,Room,"New, comfortable apartments",,
4,False,Room,well decorated and modern,,
4,False,Room,although not big,,
4,False,Room,The room was spotless.,Positive,
4,False,Staff,Staff is extremely helpful and easy to communicate with ,Negative,
4,False,Staff,"Tasty food on the first floor, comfortable restaurant for both cozy evenings and calm work to escape the heat in the midday",,
4,False,Staff,"the cook is great, and all staff was very kind and friendly",Positive,
4,False,Location,Great location for restaurants.,,
4,False,Location,Great location for a short drive to the airport.,,
4,False,Food,Great Quality/price,Positive,
4,False,Food,The room also has a great sized balcony to take a tea/coffee and chill,,
4,False,Food,There is a great restaurant inside where the food is good and not to pricey.,Positive,
5,True,Room,new,Positive,
5,True,Room,modern and spotless hotel,Positive,
5,True,Location,in a very convenient location,Positive,
5,True,Location,An easy stroll to numerous nice restaurants and a great beach.,Positive,
5,True,Price,Fantastic value,Positive,
6,True,Room,The room was exceptionally clean with a really comfortable bed,Positive,
7,False,Room,The room was spotless.,,
7,False,Room,The room was very clean,,
7,False,Staff,Staff were lovely.,,
7,False,Staff,Service was great.,,
7,False,Staff,Staff were very helpful and friendly,,
7,False,Staff,They are always so nice to talk to ,,
7,False,Staff,The staff here are amazing beyond expectations,,
7,False,Staff,Maria at reception is just great she really took time to explain where to go how to get there and so helpful ,Positive,
7,False,Staff,"Richard the chef this guy is like the friendliest guy ever, such a nice guy with a permanent. Smile ",Positive,
7,False,Location,Great location for restaurants.,,
7,False,Location,Great location for a short drive to the airport.,,
8,True,Location,nice location,Positive,
8,True,Location,"renovated,",Negative,
9,True,Staff,such helpful hosts.helped us with map .helps with looking after luggage.patient and understanding,Positive,
9,True,Staff,couldn't eat breakfast due to dietary restrictions-but very helpful host showed us how nearby bus takes to town-cntre (and airport by the way so no need for 21 euro taxi),Positive,
9,True,Food,maybe possibility of purchasing fresh fruit or veg,Negative,
10,True,Room,comfortable bed,Positive,
10,True,Room,quiet location,Positive,
10,True,Location,quiet location,Positive,
10,True,Location,Great modern room comfortable bed and quiet location.,Positive,
11,True,Room,The rooms are spacious and clean great to stay .. I even got an upgrade which is always so nice.,Positive,
11,True,Room,The rooms are spacious and clean,Negative,
11,True,Staff,Maria at reception is just great she really took time to explain where to go how to get there and so helpful ... ,Positive,
11,True,Staff,"Richard the chef this guy is like the friendliest guy ever, such a nice guy with a permanent. Smile ",Negative,
11,True,Location,The bus stop which goes to and from the airport as well as the town center is a minutes walk away and just 2 euros ,Positive,
11,True,Food,Oh yeah the food is great to and very reasonable prices ..,Positive,
12,True,Staff,The staff were exceptional.,Positive,
12,True,Staff,So helpful and friendly.,Positive,
12,True,Staff,Went out of their way for us.,Positive,
12,True,Food,The breakfast was lovely with room service too.,Positive,
13,False,Room,"The rooms are lovely and new, very clean and comfortable.",Positive,
13,False,Room,The mattress was to my taste.,Positive,
13,False,Staff,"The staff are so welcoming, we felt like staying with family.",Positive,
13,False,Location,"Short drive to the airport and very well located, just a short walk from the promenade, coffee shops restaurants.",Positive,
13,False,Food,coffee shops,Positive,
14,False,Staff,The receptionist didn't speak English properly.,Negative,
14,False,Location,There are some restaurants and bars next to the beach just 10min of walking distance from the hotel.,Positive,
14,False,Location,"You can hear the airplanes coming and leaving from the airport all the time, so if you are sensitive to the sounds around you and at night, better to skip this hotel and choose a different one.",Negative,
15,True,Staff,The staff make it - particularly reception and the dining room.,Positive,
15,True,Location,"Second visit - Chose really because it was reasonably close to the Airport for an early morning flight, yet could have a stroll along the nearby beach.",Negative,
15,True,Food,The staff make it - particularly reception and the dining room.,Positive,
16,False,Room,the room was spotless.,Positive,
16,False,Food,"the restaurant downstairs is amazing- the food there is very very tasty and made with a lot of care- they care a lot about the details: olive oil galore, herbs- absolutely delicious!",Positive,
17,True,Room,Our room had a balcony with great view of the sea and surrounding area.,Positive,
17,True,Staff,The owner and staff were exceptionally friendly and supportive and helped with all our wishes.,Positive,
18,True,Staff,with extremely friendly reception and dining staff,Positive,
18,True,Staff,"very bright, nice seating areas inside and out.",Positive,
18,True,Location,Bus every 20 minutes to the centre of Larnaka.,Negative,
18,True,Food,Meals well prepared and good value.,Positive,
19,True,Location,Close to airport,Positive,
20,False,(parse failed),,,json_parse_error: Expecting ':' delimiter: line 1 column 185 (char 184)
